Cuenta,Código QR,OLT,FSP,Latitud,Longitud,Ubicacion,Puerto N2,Estatus  
0100578744,TP794206,SAN_CRISTOBAL_DF,0/7/11,19.617138,-99.089203,Poste,8,ACTIVA
0100579267,TP578241,SAN_CRISTOBAL_DF,0/2/11,19.632662,-99.079609,Poste,16,ACTIVA
0100583560,TP578240,SAN_CRISTOBAL_DF,0/5/8,19.632498,-99.079378,Poste,1,ACTIVA
0100598737,TP651907,SAN_CRISTOBAL_DF,0/2/8,19.625838,-99.084078,Poste,8,ACTIVA
0100614040,TP792397,SAN_CRISTOBAL_DF,0/5/6,19.614287,-99.051422,Poste,16,ACTIVA
0100614067,TP652676,SAN_CRISTOBAL_DF,0/5/5,19.614137,-99.058609,Poste,4,ACTIVA
0100614185,TP794449,SAN_CRISTOBAL_DF,0/5/2,19.614091,-99.047186,Poste,1,ACTIVA
0100614215,TP794446,SAN_CRISTOBAL_DF,0/5/1,19.616787,-99.04436,Poste,4,ACTIVA
0100614303,TP792779,SAN_CRISTOBAL_DF,0/5/4,19.619462,-99.053953,Poste,1,ACTIVA
0100614324,TP652463,SAN_CRISTOBAL_DF,0/4/12,19.628462,-99.054797,Poste,11,ACTIVA
0100614367,TP652566,SAN_CRISTOBAL_DF,0/4/12,19.629288,-99.053265,Poste,1,ACTIVA
0100614388,TP652221,SAN_CRISTOBAL_DF,0/5/6,19.613985,-99.05538,Poste,15,ACTIVA
0100614398,TP652221,SAN_CRISTOBAL_DF,0/5/6,19.613985,-99.05538,Poste,12,ACTIVA
0100614447,TP579934,SAN_CRISTOBAL_DF,0/5/12,19.615264,-99.053391,Poste,16,ACTIVA
0100614702,TP584316,HEROES_TECAMAC_DF,0/7/2,19.632988,-99.03208,Poste,6,ACTIVA
0100614945,TP792784,SAN_CRISTOBAL_DF,0/5/4,19.618162,-99.055922,Poste,2,ACTIVA
0100615484,TP652695,SAN_CRISTOBAL_DF,0/4/7,19.621713,-99.057455,Poste,8,ACTIVA
0100615527,TP652223,SAN_CRISTOBAL_DF,0/11/11,19.613264,-99.056391,Poste,11,ACTIVA
0100615665,TP579532,SAN_CRISTOBAL_DF,0/6/3,19.620313,-99.052609,Poste,13,ACTIVA
0100615801,TP652302,SAN_CRISTOBAL_DF,0/16/10,19.62918,-99.051333,Poste,1,ACTIVA
0100615893,TP652677,SAN_CRISTOBAL_DF,0/5/5,19.61325,-99.059847,Poste,2,ACTIVA
0100615906,TP652227,SAN_CRISTOBAL_DF,0/11/11,19.612763,-99.057141,Poste,1,ACTIVA
0100615920,TP792797,SAN_CRISTOBAL_DF,0/5/4,19.614728,-99.061222,Poste,6,ACTIVA
0100615951,TP652840,SAN_CRISTOBAL_DF,0/3/12,19.625501,-99.053209,Poste,1,ACTIVA
0100615965,TP652878,SAN_CRISTOBAL_DF,0/5/1,19.618812,-99.047078,Poste,9,ACTIVA
0100616118,TP652875,SAN_CRISTOBAL_DF,0/5/0,19.618263,-99.048359,Poste,1,ACTIVA
0100616197,TP579688,SAN_CRISTOBAL_DF,0/8/3,19.617378,-99.046262,Poste,1,ACTIVA
0100616526,TP652220,SAN_CRISTOBAL_DF,0/5/12,19.613937,-99.055359,Poste,12,ACTIVA
0100617173,TPHW003226,SAN_CRISTOBAL_DF,0/6/14,19.624778,-99.058695,Poste,6,ACTIVA
0100617178,TP652836,SAN_CRISTOBAL_DF,0/3/12,19.626362,-99.051953,Poste,1,ACTIVA
0100617247,TPHW003220,SAN_CRISTOBAL_DF,0/6/14,19.628902,-99.056517,Poste,1,ACTIVA
0100617290,TP968632,SAN_CRISTOBAL_DF,0/17/12,19.621887,-99.055515,Poste,14,ACTIVA
0100617347,TP579467,SAN_CRISTOBAL_DF,0/3/13,19.627888,-99.049547,Poste,8,ACTIVA
0100617436,TP652884,SAN_CRISTOBAL_DF,0/3/14,19.628363,-99.051766,Poste,4,ACTIVA
0100617582,TP579047,SAN_CRISTOBAL_DF,0/5/3,19.618238,-99.059234,Poste,14,ACTIVA
0100617637,TP579845,SAN_CRISTOBAL_DF,0/5/1,19.617488,-99.045734,Poste,3,ACTIVA
0100617664,TP792787,SAN_CRISTOBAL_DF,0/5/4,19.617862,-99.056359,Poste,1,ACTIVA
0100617667,TP644474,SAN_CRISTOBAL_DF,0/15/3,19.635462,-99.055235,Poste,14,ACTIVA
0100617672,TP652949,SAN_CRISTOBAL_DF,0/7/4,19.626413,-99.063891,Poste,3,ACTIVA
0100617719,TP579053,SAN_CRISTOBAL_DF,0/5/15,19.615862,-99.061203,Poste,5,ACTIVA
0100617740,TP579053,SAN_CRISTOBAL_DF,0/5/15,19.615862,-99.061203,Poste,4,ACTIVA
0100617746,TP792789,SAN_CRISTOBAL_DF,0/5/4,19.616863,-99.057984,Poste,10,ACTIVA
0100617748,TP792397,SAN_CRISTOBAL_DF,0/5/6,19.614287,-99.051422,Poste,1,ACTIVA
0100617791,TP579571,SAN_CRISTOBAL_DF,0/4/9,19.622863,-99.063047,Poste,1,ACTIVA
0100617801,TP792669,SAN_CRISTOBAL_DF,0/4/14,19.620888,-99.046891,Poste,11,ACTIVA
0100617823,TP652310,SAN_CRISTOBAL_DF,0/5/0,19.615888,-99.049391,Poste,13,ACTIVA
0100617824,TP579532,SAN_CRISTOBAL_DF,0/6/3,19.620313,-99.052609,Poste,5,ACTIVA
0100617873,TP792792,SAN_CRISTOBAL_DF,0/13/10,19.615938,-99.059391,Poste,6,ACTIVA
0100617892,TP579046,SAN_CRISTOBAL_DF,0/5/15,19.618263,-99.059234,Poste,1,ACTIVA
0100617999,TP652852,SAN_CRISTOBAL_DF,0/4/2,19.632821,-99.060828,Poste,9,ACTIVA
0100618523,TP792669,SAN_CRISTOBAL_DF,0/4/14,19.620888,-99.046891,Poste,13,ACTIVA
0100618890,TP652929,SAN_CRISTOBAL_DF,0/3/13,19.626812,-99.049297,Poste,9,ACTIVA
0100618918,TP652729,SAN_CRISTOBAL_DF,0/4/15,19.623437,-99.053578,Poste,1,ACTIVA
0100619002,TP652309,SAN_CRISTOBAL_DF,0/11/8,19.615888,-99.049391,Poste,11,ACTIVA
0100619018,TP579890,SAN_CRISTOBAL_DF,0/11/5,19.627617,-99.0703,Poste,5,ACTIVA
0100619127,TP579589,SAN_CRISTOBAL_DF,0/3/14,19.627004,-99.053939,Poste,6,ACTIVA
0100619274,TP464913,SAN_CRISTOBAL_DF,0/1/2,19.627237,-99.065578,Poste,6,ACTIVA
0100619289,TP579044,SAN_CRISTOBAL_DF,0/5/3,19.619287,-99.057766,Poste,1,ACTIVA
0100619299,TP579645,SAN_CRISTOBAL_DF,0/7/15,19.637863,-99.064418,Poste,3,ACTIVA
0100619315,TP652855,SAN_CRISTOBAL_DF,0/7/14,19.632713,-99.060985,Poste,13,ACTIVA
0100619340,TP579550,SAN_CRISTOBAL_DF,0/2/2,19.616264,-99.081235,Poste,11,ACTIVA
0100619367,TP579529,SAN_CRISTOBAL_DF,0/13/8,19.619412,-99.050297,Poste,5,INACTIVA
0100619368,TP652884,SAN_CRISTOBAL_DF,0/3/14,19.628363,-99.051766,Poste,9,ACTIVA
0100619369,TP579929,SAN_CRISTOBAL_DF,0/5/12,19.615855,-99.052447,Poste,6,ACTIVA
0100619385,TP652954,SAN_CRISTOBAL_DF,0/4/1,19.631413,-99.057953,Poste,5,ACTIVA
0100619436,TP792669,SAN_CRISTOBAL_DF,0/4/14,19.620888,-99.046891,Poste,2,ACTIVA
0100619542,TP652881,SAN_CRISTOBAL_DF,0/6/6,19.628563,-99.051422,Poste,8,ACTIVA
0100620080,TP579470,SAN_CRISTOBAL_DF,0/13/6,19.627763,-99.049797,Poste,9,ACTIVA
0100620334,TP652670,SAN_CRISTOBAL_DF,0/5/5,19.615888,-99.055922,Poste,4,ACTIVA
0100620817,TP792792,SAN_CRISTOBAL_DF,0/13/10,19.615938,-99.059391,Poste,2,ACTIVA
0100620945,TP652730,SAN_CRISTOBAL_DF,0/11/9,19.623437,-99.053516,Poste,3,ACTIVA
0100620955,TP792794,SAN_CRISTOBAL_DF,0/11/10,19.615187,-99.060609,Poste,3,ACTIVA
0100620969,TP885084,SAN_CRISTOBAL_DF,0/6/1,19.634726,-99.054634,Poste,7,ACTIVA
0100621128,TP651490,SAN_CRISTOBAL_DF,0/1/1,19.62071,-99.066925,Poste,1,ACTIVA
0100621133,TP579046,SAN_CRISTOBAL_DF,0/5/15,19.618263,-99.059234,Poste,12,ACTIVA
0100621166,TP652764,SAN_CRISTOBAL_DF,0/7/3,19.630237,-99.060016,Poste,6,ACTIVA
0100621203,TP579580,SAN_CRISTOBAL_DF,0/3/12,19.625188,-99.053922,Poste,1,ACTIVA
0100621309,TP579841,SAN_CRISTOBAL_DF,0/5/0,19.619513,-99.045641,Poste,3,ACTIVA
0100621340,TP652948,SAN_CRISTOBAL_DF,0/5/7,19.626438,-99.063813,Poste,3,ACTIVA
0100621450,TP579700,SAN_CRISTOBAL_DF,0/4/13,19.621513,-99.054391,Poste,2,ACTIVA
0100621487,TP652385,SAN_CRISTOBAL_DF,0/4/2,19.634701,-99.056968,Poste,5,ACTIVA
0100621491,TP885405,SAN_CRISTOBAL_DF,0/15/8,19.634262,-99.053047,Poste,3,ACTIVA
0100621509,TP652464,SAN_CRISTOBAL_DF,0/6/0,19.626212,-99.055672,Poste,15,ACTIVA
0100621569,TP652841,SAN_CRISTOBAL_DF,0/7/12,19.625513,-99.053328,Poste,5,ACTIVA
0100621704,TP583809,HEROES_TECAMAC_DF,0/14/5,19.628651,-99.02503,Poste,12,ACTIVA
0100621760,TP652175,SAN_CRISTOBAL_DF,0/4/3,19.636282,-99.06176,Poste,2,ACTIVA
0100621816,TP579034,SAN_CRISTOBAL_DF,0/4/11,19.629613,-99.063703,Poste,6,ACTIVA
0100621841,TP967446,SAN_CRISTOBAL_DF,0/15/7,19.631213,-99.062078,Poste,13,ACTIVA
0100621884,TP579699,SAN_CRISTOBAL_DF,0/4/13,19.621988,-99.055172,Poste,7,ACTIVA
0100621929,TP579762,SAN_CRISTOBAL_DF,0/16/11,19.630511,-99.051854,Poste,5,ACTIVA
0100622255,TP579763,SAN_CRISTOBAL_DF,0/3/15,19.630564,-99.05189,Poste,11,INACTIVA
0100622815,TP652921,SAN_CRISTOBAL_DF,0/5/13,19.624647,-99.047995,Poste,9,ACTIVA
0100622927,TP652846,SAN_CRISTOBAL_DF,0/4/2,19.636836,-99.059202,Poste,1,ACTIVA
0100622969,TP537678,SAN_CRISTOBAL_DF,0/4/5,19.637212,-99.065859,Poste,4,ACTIVA
0100623003,TP579586,SAN_CRISTOBAL_DF,0/3/14,19.628019,-99.052354,Poste,1,ACTIVA
0100623005,TP652925,SAN_CRISTOBAL_DF,0/3/13,19.627763,-99.049859,Poste,4,ACTIVA
0100623039,TP652704,SAN_CRISTOBAL_DF,0/4/7,19.623088,-99.060141,Poste,14,ACTIVA
0100623085,TP652763,SAN_CRISTOBAL_DF,0/4/10,19.630237,-99.060016,Poste,15,ACTIVA
0100623128,TP579659,SAN_CRISTOBAL_DF,0/4/6,19.634587,-99.06489,Poste,8,ACTIVA
0100623213,TP652939,SAN_CRISTOBAL_DF,0/16/9,19.624413,-99.047797,Poste,4,ACTIVA
0100623349,TP537678,SAN_CRISTOBAL_DF,0/4/5,19.637212,-99.065859,Poste,1,ACTIVA
0100623589,TP579473,SAN_CRISTOBAL_DF,0/5/13,19.625712,-99.048641,Poste,4,ACTIVA
0100623668,TP579469,SAN_CRISTOBAL_DF,0/5/13,19.627763,-99.049859,Poste,8,ACTIVA
0100623707,TP652486,SAN_CRISTOBAL_DF,0/12/7,19.615537,-99.044815,Poste,12,ACTIVA
